file,event_type,event_subtype,text,context,trigger,trigger_text_start,trigger_text_end,trigger_context_start,trigger_context_end
bc/timex2norm/CNN_CF_20030303.1900.00,Movement,Transport,a 30-foot Cuban patrol boat with four heavily armed men landed on American shores,"Even as the secretary of homeland security was putting his people on high alert last month, a 30-foot Cuban patrol boat with four heavily armed men landed on American shores, utterly undetected by the Coast Guard Secretary Ridge now leads",landed,56,61,148,153
bc/timex2norm/CNN_CF_20030303.1900.00,Movement,Transport,these bozos let four armed Cubans land on our shores,And these bozos let four armed Cubans land on our shores when they're trying to make a high terrorist alert,land,34,37,38,41
bc/timex2norm/CNN_CF_20030303.1900.00,Personnel,Elect,election to a dead man,He lost an election to a dead man,election,0,7,11,18
bc/timex2norm/CNN_CF_20030303.1900.00,Personnel,Elect,who is elected to public office,"Paul, as I understand your definition of a political -- of a professional politician based on that is somebody who is elected to public office",elected,7,13,118,124
bc/timex2norm/CNN_CF_20030303.1900.00,Personnel,Start-Position,Hire professionals,"Hire professionals, Mr. President",Hire,0,3,0,3
bc/timex2norm/CNN_CF_20030303.1900.00,Personnel,Start-Position,put Democratic career politicians at the Pentagon and the Justice Department,"It's OK to put Democratic career politicians at the Pentagon and the Justice Department if they're Democrats but not if they're Republicans, is that right",put,0,2,11,13
bc/timex2norm/CNN_CF_20030303.1900.00,Personnel,Nominate,the 10th candidate for the nomination,Senator Christopher Dodd of Connecticut made the announcement today that he would not be the 10th candidate for the nomination,nomination,27,36,116,125
bc/timex2norm/CNN_CF_20030303.1900.00,Personnel,Nominate,nominations,"He explained he could better spend the next two years on homeland security, the economy and judicial nominations",nominations,0,10,101,111
bc/timex2norm/CNN_CF_20030303.1900.00,Conflict,Attack,we go to war in Iraq,It could swell to as much as $500 billion if we go to war in Iraq,war,9,11,54,56
bc/timex2norm/CNN_CF_20030303.1900.00,Personnel,End-Position,two million Americans have lost t,"In all, two million Americans have lost their jobs under President Bush so far, not to mention three of them being the top three leaders of his economic team",lost t,27,32,35,40
bc/timex2norm/CNN_CF_20030303.1900.05,Personnel,End-Position,Former Arkansas Governor and U.S. Senator Dale Bumpers,"Former Arkansas Governor and U.S. Senator Dale Bumpers has just published a memoir called ""The Best Lawyer in a One-Lawyer Town",Former,0,5,0,5
bc/timex2norm/CNN_CF_20030303.1900.05,Contact,Meet,"session you had with President Lyndon Johnson in Austin, I guess, at his ranch","You cite a session you had with President Lyndon Johnson in Austin, I guess, at his ranch, right",session,0,6,11,17
bc/timex2norm/CNN_CF_20030303.1900.05,Personnel,End-Position,I was majority leader,"When I was majority leader, and later president, I spent all my time pulling every power string I could find to pull, trying to pass bills that helped people",was,2,4,7,9
bc/timex2norm/CNN_CF_20030303.1900.05,Life,Marry,everybody would want to marry Betty,"And I've said many times, if we all agreed on everything, everybody would want to marry Betty and we would really be in a mess, wouldn't we, Bob",marry,24,28,82,86
bc/timex2norm/CNN_CF_20030303.1900.05,Personnel,Elect,Franklin Roosevelt was elected president,"Bob, I think that the reason everybody in the south -- you know, first of all, we were -- when Franklin Roosevelt was elected president, we had been living what we thought was still a conquered nation after the Civil War",elected,23,29,118,124
bc/timex2norm/CNN_CF_20030303.1900.05,Conflict,Attack,Civil War,"Bob, I think that the reason everybody in the south -- you know, first of all, we were -- when Franklin Roosevelt was elected president, we had been living what we thought was still a conquered nation after the Civil War",Civil War,0,8,211,219
bc/timex2norm/CNN_CF_20030303.1900.05,Conflict,Attack,Civil War,"And from that time on, that's the reason we had 22 Democratic senators from 11 confederate states, is because of the Civil War and because of what we thought was a heavy hand of the federal government all the time",Civil War,0,8,117,125
bc/timex2norm/CNN_CF_20030303.1900.05,Conflict,Attack,War World II,A million and a half veterans came out of War World II on the GI bill and got that kind of an education,War World II,0,11,42,53
bc/timex2norm/CNN_CF_20030303.1900.05,Personnel,End-Position,I knew it was time to leave,I knew it was time to leave,leave,22,26,22,26
bc/timex2norm/CNN_CF_20030303.1900.05,Movement,Transport,"I got to Washington with the Associated Press, 45 years ago","Senator Bumpers, of the 22 senators of the old confederacy, when I got to Washington with the Associated Press, 45 years ago, 22 of them were Democrats, nine were Republicans",got,2,4,67,69
bc/timex2norm/CNN_CF_20030303.1900.06-1,Contact,Phone-Write,I'm chewing gum and talking,I'm chewing gum and talking on the phone while writing this note,talking,20,26,20,26
bc/timex2norm/CNN_CF_20030303.1900.06-1,Conflict,Attack,Bush should torture the al Qaeda chief operations officer,Bush should torture the al Qaeda chief operations officer,torture,12,18,12,18
bc/timex2norm/CNN_CF_20030303.1900.06-1,Transaction,Transfer-Money,Mr. Begala and Mr. Carville just donate,"If the budget goes through as is, why don't Mr. Begala and Mr. Carville just donate the extra tax money they don't want",donate,33,38,77,82
bc/timex2norm/CNN_CF_20030303.1900.06-1,Transaction,Transfer-Money,I'll donate to the Democrats,I'll donate to the Democrats,donate,5,10,5,10
bc/timex2norm/CNN_CF_20030303.1900.06-1,Justice,Sue,"sue to become our president, and he","He had to sue to become our president, and he keeps trying to bribe other countries' democratic governments into his supporting his agenda",sue,0,2,10,12
bc/timex2norm/CNN_CF_20030303.1900.06-2,Conflict,Attack,the U.S. can no longer both fight a war with Iraq,"And now how are people going to argue that the U.S. can no longer both fight a war with Iraq and also fight terrorism, specifically al Qaeda",war,36,38,79,81
bc/timex2norm/CNN_CF_20030303.1900.06-2,Conflict,Attack,We go to war in Iraq,"We go to war in Iraq, 200,000 people start protesting in Pakistan, they put too much pressure on the government",war,9,11,9,11
bc/timex2norm/CNN_CF_20030303.1900.06-2,Conflict,Attack,We go to war in Iraq,"We go to war in Iraq, it would be the worst thing we can do",war,9,11,9,11
bc/timex2norm/CNN_CF_20030303.1900.06-2,Conflict,Attack,war,What I can't stand is a president who is going to screw up our war against terrorism when I thought that was his job,war,0,2,63,65
bc/timex2norm/CNN_CF_20030303.1900.06-2,Conflict,Demonstrate,"200,000 people start protesting in Pakistan","We go to war in Iraq, 200,000 people start protesting in Pakistan, they put too much pressure on the government",protesting,21,30,43,52
bc/timex2norm/CNN_CF_20030303.1900.06-2,Conflict,Attack,terrorism,What I can't stand is a president who is going to screw up our war against terrorism when I thought that was his job,terrorism,0,8,75,83
bc/timex2norm/CNN_CF_20030303.1900.06-2,Conflict,Attack,terrorism,"And now how are people going to argue that the U.S. can no longer both fight a war with Iraq and also fight terrorism, specifically al Qaeda",terrorism,0,8,108,116
bc/timex2norm/CNN_CF_20030304.1900.02,Transaction,Transfer-Money,"harmed by a doc, they","If harmed by a doc, they ought to be able to recover their economic costs, economic losses",harmed,0,5,3,8
bc/timex2norm/CNN_CF_20030304.1900.02,Justice,Sue,lawsuit,"Let me set aside the hypocrisy of a man who became president because of a lawsuit trying to eliminate everybody else's lawsuits, but instead focus on his own experience",lawsuit,0,6,74,80
