text,label,session
"<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,One,defendant,was,acquitted,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>",0,1
"<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,we're,not,going,to,let,this,guy,walk,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>",0,1
"<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,Wouter,Basson,was,acquitted,in,April,2002,on,46,charges,,ranging,from,murder,and,drug,trafficking,to,fraud,and",0,1
"highest,appeals,court,in,the,country,,means,that,Basson,cannot,be,tried,again,and,his,acquittal,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>",0,1
"as,he,tried,to,flee),had,a,serious,criminal,past,but,has,been,allowed,to,walk,free,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>",0,1
"an,agreement,with,the,prosecution,that,the,case,be,postponed,for,a,month,while,the,appeal,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>",1,1
"<pad>,Anwar's,lawyers,said,they,were,filing,a,fresh,request,for,bail,pending,a,further,appeal,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>",1,1
"<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,He,lost,an,appeal,case,on,his,sodomy,sentence,on,April,18,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>",1,1
"<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,the,convicted,have,15,days,to,appeal,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>",1,1
"<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,Anwar,is,expected,to,appeal,again,with,the,Federal,Court,,Malaysia,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>",1,1
"<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,a,leader,of,Turkey's,pro-Islamic,movement,when,he,was,jailed,,said,he,moderated,his,policies,in,prison,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>",2,1
"<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,Lisa,M.,Montgomery,,36,,of,Melvern,,Kan.,,was,arrested,later,Friday,and,charged,with,kidnapping,resulting,in,death,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>",2,1
"<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,Most,homosexuals,arrested,during,the,Nazi,era,were,imprisoned,in,normal,jails,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>",2,1
"<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,we,caught,that,guy,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>",2,1
"<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,whoever,you,arrest,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>",2,1
"<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,birth,to,the,couple's,third,child,at,1:52,a.m.,at,a,Los,Angeles-area,hospital,<pad>,<pad>",4,1
"<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,A,baby,girl,who,had,been,cut,out,of,her,mother's,womb,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>",4,1
"<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,that,was,ripped,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>",4,1
"<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,Childbirth,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>",4,1
"<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,New,Zealand-born,Hunter,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>",4,1
"<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,Ranjha,was,accused,of,tearing,down,a,billboard,carrying,verses,from,the,Koran,in,Faisalabad,during,a,Christian",5,1
"<pad>,<pad>,The,other,three,,two,men,and,one,woman,,have,already,been,released,without,charge,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>",5,1
